redistribution_policy_applied,record_id,source_ids,first_seen,last_seen,record_type,label,scam_types,evidence_level,redistribution_status,training_ready,source_type,credibility_level,text_sanitized,benign_message_type,synthetic,human_reviewed
False,00088d72-4aa4-4fc0-98d6-a1a8b86efd41,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Mã OTP của bạn là 456789. Tuyệt đối không cung cấp mã này cho bất kỳ ai kể cả nhân viên ngân hàng.,otp_warning,True,True
False,bb10314a-3526-4b89-858d-6bc4c1ce0f8e,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Mã xác thực giao dịch: 123456. Lưu ý: Ngân hàng không bao giờ yêu cầu bạn đọc mã OTP qua điện thoại.,otp_warning,True,True
False,a37762f4-caf1-4441-b6cb-87dca783f00f,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,OTP xác nhận đăng nhập: 987654. Mã có hiệu lực 5 phút. Không chia sẻ mã này với ai.,otp_warning,True,True
False,f75e02c0-c0ca-4686-b119-95712fdc8caa,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,"[OTP_REDACTED] để xác nhận thay đổi mật khẩu. Nếu bạn không thực hiện, vui lòng liên hệ hotline.",otp_warning,True,True
False,73b4b03a-40c5-4f10-b9d6-31743f4a68c0,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Mã [OTP_REDACTED] cho giao dịch chuyển khoản. Không cung cấp OTP cho người khác dưới bất kỳ hình thức nào.,otp_warning,True,True
False,ad134381-2da0-43d7-b3b4-91afda26ecfb,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Đơn hàng #VN12345678 của bạn đã được giao thành công. Cảm ơn bạn đã mua sắm!,delivery_notification,True,True
False,c9c13b84-1d12-45d8-9c47-284e0008527e,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Kiện hàng của bạn đang được vận chuyển. Dự kiến giao trong 2-3 ngày làm việc.,delivery_notification,True,True
False,65889c21-735a-4122-a900-f1ca9d194f8d,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Shipper đang trên đường giao hàng cho bạn. Vui lòng giữ điện thoại để nhận cuộc gọi.,delivery_notification,True,True
False,145e0b5e-d5c5-4263-a21f-ff661054b295,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Đơn hàng Shopee #SP987654 đã xuất kho. Theo dõi tại: app Shopee > Đơn mua.,delivery_notification,True,True
False,38cee693-fcf5-45b5-be77-2a90cc5fc84e,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Bưu phẩm EMS của bạn đã đến bưu cục. Vui lòng mang CMND/CCCD đến nhận trong 7 ngày.,delivery_notification,True,True
False,18d433f2-c92c-4506-ab13-2c0cff647882,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Ngân hàng không bao giờ yêu cầu khách hàng cung cấp [PASSWORD_REDACTED] OTP qua điện thoại.,bank_education,True,True
False,f1f0b71f-100f-4298-a323-c51a53c6a9f7,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,"Để bảo mật tài khoản, hãy đổi [PASSWORD_REDACTED] kỳ và không sử dụng WiFi công cộng khi giao dịch.",bank_education,True,True
False,2d0d8ce0-3428-4643-96e0-67ee377c009c,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Cảnh báo: Không bấm vào link lạ trong tin nhắn. Luôn truy cập ngân hàng qua app chính thức.,bank_education,True,True
False,9fc1d040-b2df-4901-8232-afa610ffa6bc,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Hướng dẫn bảo mật: Kích hoạt xác thực 2 bước để bảo vệ tài khoản ngân hàng trực tuyến.,bank_education,True,True
False,e4a7145f-119b-4347-ba74-9ea7fbcacb38,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,"Lưu ý: SMS từ ngân hàng luôn từ tên thương hiệu, không từ số điện thoại cá nhân.",bank_education,True,True
False,d0a4b905-6e8a-4750-aeed-8fbd6af00bb6,"[""benign_messages""]",2026-06-29T10:13:38.505213Z,2026-06-29T10:13:38.505213Z,message,benign_message,[],b,allowed,True,benign_reference,medium,Flash Sale hôm nay: Giảm 50% toàn bộ sản phẩm điện tử. Áp dụng đến 23:59.,promotion,True,True
